160|1|Blue Egg
168|2|Red Egg
172|3|Yellow Egg
823|4|Legionary
72|5|Dinosaur Egg
828|6|Galea
162|7|Green Egg
289|8|Bandits
330|9|Racing Helmet
75|10|Palaeontologist
69|11|Amber
130|11|Tour Guide
227|13|Chocolate Bar
932|14|31 Tickets
275|15|Cowboy Boots
5|16|Christmas Tree
917|17|1000 Tickets
482|18|Broken Sword
922|18|Skee-ball
137|18|Watering Hole
738|21|Mitmegu
334|22|Steering Wheel
465|23|Elves
238|24|Greedy Kid
480|25|Dark Lord
337|26|Gig Ticket
584|26|Sherpas
576|28|Explorers
483|29|Sword Of Kings
332|30|Racing Suit
350|31|Groupies
4|31|Christmas Tree Lights
937|33|50c Coin
810|33|Nitro Blazer
929|35|Air Hockey
744|35|Ebekol
222|37|Paperwork
920|38|222 Tickets
610|39|Fairy Godmother
421|39|Yellow Brick Road
463|41|Short Races
129|41|Camera
924|43|Pinball Machine
190|44|Fedora
859|45|Dynamite
344|46|Tour Bus
646|47|Cassette Tape
730|47|Muruchi
127|49|Cheetah
736|49|Vesial
189|51|Explorer
441|52|Bullet Proof Vest
826|53|Amphitheatre Show
132|53|Thieving Monkeys
349|55|Roadies
579|56|Hiking Boots
157|57|Spade
729|57|Muru
862|59|Safe
733|59|Tulimber
934|61|16 Tickets
575|62|Climbing Rope
327|62|Race Car
77|64|Sarah Jurassica Parka
735|64|Vesi
835|66|Chariot Race
614|67|Prince
49|67|UFO
724|69|WallaBee Mixer
732|70|Tuli
765|71|Finale
762|71|Trombone
921|73|Motorcycle Mayhem
418|73|Toto
447|75|Handcuffs
38|76|Alien
574|77|Climbing Helmet
857|78|Shovels
631|78|Engineer
706|78|Lamp
769|81|Cello
496|82|Flight Attendant
148|83|Deck Chair
440|83|Police Helmet
155|85|Sandcastle
454|85|Halflings
388|85|Tower Of Pisa
1034|88|Dodson's Grave
466|89|Tall Races
611|90|Beautiful Cinderella
358|91|Elvis Impersonator
276|92|Cowboy Hat
973|93|Coat Of Arms
65|94|Candle Lit Dinner
623|95|Baggage Cart
573|95|Balaclava
154|97|Stick of Rock
926|97|100 Tickets
87|99|Tuxedo
581|99|Insulated Socks
171|101|White Egg
931|102|Coin Dozer
707|103|Genie
324|103|Chequered Flag
111|105|Baseball Mitt
1094|105|Flying Saucers
997|105|Camel
319|105|Underwater Cave
822|109|Centurion
1115|110|Dot Painting
516|111|3D Glasses
938|111|25c Coin
804|113|Fast Pass Ticket
343|113|Smoke Machine
1051|115|Ghost of Christmas Future
105|115|Baseball Bat
312|117|Oxygen Tank
1017|118|TeePee
74|118|Fossils
33|118|Big Foot Print
390|121|Egg Chair
768|122|Sheet Music
248|123|Throne
981|124|Jouster
136|124|Canteen
108|126|Helmet
41|127|Planet
259|127|Referee
26|129|Flashlight
897|129|Drink Me
858|131|Vault
116|131|Star Player
458|133|Wizards Staff
830|134|Castrum Stativa
201|135|Bullwhip
1018|136|Log Cabin
1132|136|Scottish Piper
772|138|Flute
928|139|45 Tickets
1325|140|Easter Hen
407|140|Emerald City
8|140|Mistletoe
114|140|Shirt
427|144|Vampire
585|145|Ski Goggles
1019|146|Turkey
781|147|Mudbath
23|148|Campfire
785|149|Towels
42|149|Rocket
241|151|Queen
109|151|Homerun
64|153|Theatre Tickets
425|154|Black Cat
426|155|Bats
83|156|Female Agent
654|157|Neon Socks
18|158|Clowns
1131|159|Haggis
609|159|Pumpkin
318|161|Underwater Camera
97|161|Cap'n Jack Honeycomb
612|163|Luxury Carriage
817|164|Galactic Exterminator
151|165|Relaxed Parents
824|166|Roman Coins
1336|166|Milk Frother
606|168|Wicked Stepmother
748|169|Water Gem
166|170|Orange Egg
528|171|Comet
393|171|Lava Lamp
677|173|Blue Box
309|173|Divers Mask
1052|175|Nephew Alan
525|176|Dancer
651|177|Headphones
993|177|Sphinx
62|177|Dinner Suit
95|180|Jolly Roger
1039|181|Honeycombs
333|181|Slick Tyres
679|183|Fading Photograph
518|184|Movie Clapper
770|184|Violin
1191|184|Invisibility Cloak
1023|187|Suspect White
630|187|Chef
1381|187|Fire Temple
1382|187|Totem
138|191|Safari Animals
161|191|Brown Egg
689|193|Circuits of Time Directory
336|193|Broken Leads
529|195|Cupid
1022|195|Case Closed
1208|197|Frowngotts Bank
61|197|Little Black Dress
283|197|Spurs
551|197|Tractor
150|200|Playing Kids
10|202|Dasher
1020|203|Corn
509|203|Popcorn
240|205|Funpaloompa's
526|206|Prancer
174|206|Waitress
527|206|Vixen
47|209|Spaceship
863|209|Diamonds
531|209|Blitzen
530|209|Donner
852|213|Not So Bonnie Clyde
796|213|Sauna
355|215|Lucky 7's
1016|215|Pilgrim
406|217|Dorothy
179|218|Sunglasses
1037|219|Tiny Simon
1129|219|Burns Supper
626|219|Pocket Watch
1431|222|Tennis Balls
9|222|Presents
625|222|Conductors Hat
510|225|Nachos
455|225|Pipe
1047|225|Great Detective
1422|228|Nikolai Smashtrov
1326|228|Bunny Scissors
473|230|Orcs
1106|231|Strawberry Laces
371|231|Groom
749|233|Fire Gem
1487|233|Matches
978|233|Arrows
805|233|Ghost Train
890|237|Tweedle-dee
1098|237|Popping Candy
795|237|Relaxing Music
1421|240|Mandy Fury
825|240|Emperor Nico
462|242|Dwarves
951|242|Unctuous Uncle
1243|244|Sunlounger
176|245|Table Booth
415|245|Scarecrow
36|247|Bully
893|247|Tiny Alice
359|249|Swanky Hotel
402|250|Rotating Bed
1209|250|Goblin
326|252|Podium
1361|252|Sidekick
1053|254|Spirit of Christmas
247|255|Crown
315|255|Tiger Shark
988|255|Pyramid
887|258|Caterpillar
24|258|Camping Stools
899|258|Eat Me
1096|258|Scotch Mints
812|258|Teacup Ride
1451|258|Rubber Ring
553|264|Mystery Box
420|264|Wizard
200|266|Ruined Temples
320|267|Wetsuit
1015|267|Native American
616|267|Striking Clock
1114|267|Aboriginal
147|267|Bucket
1161|272|Ski Jumping
976|273|Falconry Display
708|273|Prince Ali
444|273|Fingerprint
470|273|Fellowship
860|277|Gold Bullions 
461|277|Ranger
507|279|Ticket Stub
279|279|Time Travelling Cowboy
754|279|Opera Box
513|282|Movie Projector
281|282|Sheriff Badge
434|284|Werewolf
813|284|Whack a Sasquatch Game
900|286|Door Handle
